iter	Passed	Remaining
399	38514	197483
400	38624	197459
401	38719	197353
402	38813	197244
403	38909	197147
404	38993	196990
405	39091	196903
406	39186	196796
407	39280	196690
408	39377	196596
409	39474	196506
410	39569	196401
411	39666	196310
412	39762	196211
413	39856	196107
414	39953	196014
415	40048	195909
416	40145	195818
417	40243	195729
418	40340	195636
419	40439	195551
420	40538	195472
421	40645	195426
422	40742	195332
423	40838	195234
424	40935	195143
425	41031	195046
426	41129	194956
427	41229	194876
428	41331	194806
429	41431	194728
430	41529	194641
431	41626	194545
432	41722	194447
433	41821	194362
434	41920	194281
435	42020	194200
436	42122	194131
437	42221	194047
438	42319	193958
439	42414	193852
440	42499	193706
441	42591	193590
442	42692	193513
443	42784	193395
444	42886	193326
445	42990	193264
446	43085	193163
447	43182	193066
448	43277	192967
449	43374	192873
450	43470	192775
451	43567	192681
452	43665	192591
453	43766	192513
454	43863	192420
455	43964	192345
456	44062	192253
457	44157	192150
458	44254	192058
459	44350	191958
460	44442	191846
461	44537	191742
462	44635	191651
463	44733	191563
464	44828	191462
465	44927	191373
466	45022	191273
467	45118	191174
468	45215	191083
469	45311	190983
470	45411	190899
471	45508	190806
472	45608	190726
473	45716	190678
474	45834	190673
475	45930	190574
476	46041	190535
477	46142	190457
478	46250	190409
479	46354	190342
480	46472	190334
481	46584	190300
482	46690	190243
483	46796	190185
484	46902	190124
485	47009	190070
486	47110	189990
487	47209	189903
488	47314	189836
489	47420	189777
490	47527	189723
491	47621	189614
492	47726	189548
493	47832	189490
494	47939	189433
495	48044	189368
496	48143	189279
497	48248	189215
498	48352	189146
499	48467	189118
500	48575	189064
501	48679	188998
502	48785	188934
503	48888	188862
504	49000	188822
505	49109	188771
506	49215	188707
507	49320	188640
508	49427	188583
509	49535	188524
510	49641	188464
511	49749	188407
512	49855	188343
513	49961	188278
514	50070	188226
515	50177	188164
516	50284	188104
517	50394	188053
518	50501	187995
519	50607	187928
520	50714	187865
521	50813	187775
522	50917	187702
523	51002	187559
524	51088	187423
525	51186	187326
526	51274	187194
527	51371	187097
528	51470	187007
529	51577	186945
530	51679	186862
531	51779	186775
532	51876	186676
533	51970	186569
534	52068	186474
535	52170	186392
536	52268	186297
537	52367	186206
538	52468	186120
539	52569	186038
540	52664	185932
541	52748	185788
542	52846	185693
543	52944	185598
544	53041	185499
545	53138	185401
546	53234	185300
547	53330	185198
548	53426	185095
549	53523	184996
550	53619	184895
551	53718	184803
552	53819	184720
553	53924	184646
554	54019	184542
555	54116	184443
556	54212	184343
557	54308	184240
558	54408	184152
559	54504	184049
560	54603	183958
561	54700	183859
562	54798	183766
563	54899	183679
564	54997	183583
565	55097	183496
566	55204	183432
567	55304	183342
568	55402	183245
569	55508	183177
570	55606	183083
571	55705	182990
572	55807	182907
573	55907	182819
574	56007	182731
575	56107	182640
576	56203	182540
577	56304	182453
578	56407	182374
579	56504	182276
580	56606	182191
581	56704	182098
582	56802	182002
583	56901	181909
584	56997	181808
585	57095	181712
586	57192	181612
587	57297	181538
588	57397	181448
589	57495	181353
590	57612	181317
591	57708	181217
592	57804	181114
593	57901	181013
594	58004	180935
595	58105	180848
596	58209	180770
597	58306	180672
598	58392	180540
599	58498	180469
600	58606	180401
601	58702	180300
602	58806	180223
603	58904	180126
604	59001	180026
605	59103	179943
606	59200	179844
607	59299	179750
608	59394	179645
609	59491	179548
610	59595	179469
611	59698	179389
612	59800	179304
613	59898	179208
614	60003	179131
615	60097	179024
616	60193	178921
617	60290	178823
618	60387	178723
619	60484	178625
620	60584	178534
621	60680	178431
622	60774	178323
623	60872	178228
624	60970	178130
625	61063	178020
626	61159	177917
627	61257	177821
628	61355	177727
629	61454	177631
630	61550	177531
631	61650	177441
632	61744	177331
633	61854	177271
634	61953	177176
635	62057	177097
636	62153	176995
637	62252	176901
638	62349	176802
639	62445	176700
640	62542	176602
641	62628	176471
642	62731	176389
643	62830	176295
644	62928	176198
645	63033	176123
646	63133	176030
647	63231	175935
648	63329	175838
649	63432	175756
650	63533	175667
651	63631	175571
652	63728	175474
653	63834	175397
654	63932	175301
