iter	Logloss
0	0.6030908705
5	0.3185432056
10	0.191585522
15	0.1355833553
20	0.109406787
25	0.09526222236
30	0.08713653439
35	0.08212310369
40	0.07888305783
45	0.07629173737
50	0.07433451374
55	0.07292368116
60	0.07166822694
65	0.07078642167
70	0.06998356638
75	0.06928644591
80	0.06870818575
85	0.06820172555
90	0.06780837196
95	0.0673941515
100	0.06701051471
105	0.06678920916
110	0.06650899915
115	0.0662703504
120	0.06605734479
125	0.0658587501
130	0.06570182346
135	0.065492629
140	0.06530603041
145	0.06514116523
150	0.0649738647
155	0.06482406343
160	0.06468392146
165	0.06456219869
170	0.06444165458
175	0.06433203879
180	0.0642179835
185	0.06412357946
190	0.06400018931
195	0.06391877522
200	0.06383493809
205	0.06375116667
210	0.06365187959
215	0.06353271539
220	0.06348174123
225	0.06337753415
230	0.06327847295
235	0.06320267292
240	0.06311166935
245	0.06301791419
250	0.06294292731
255	0.06287480297
260	0.06281487589
265	0.06274165496
270	0.06267935002
275	0.0626133407
280	0.06255416928
285	0.06247002003
290	0.06238597346
295	0.06231733165
300	0.06224418464
305	0.0621729391
310	0.06210025206
315	0.06205310137
320	0.06197708368
325	0.06190944805
330	0.06186756645
335	0.0617938609
340	0.06172521499
345	0.0616568771
350	0.06157622688
355	0.06152049289
360	0.06145513246
365	0.06138183349
370	0.0613217175
375	0.06127676809
380	0.06122149406
385	0.06116904555
390	0.06112235894
395	0.06107375032
400	0.06102263653
405	0.06096635223
410	0.0609216944
415	0.06087605914
420	0.06080424685
425	0.06076305109
430	0.06070626164
435	0.06062909814
440	0.06058465386
445	0.06055175804
450	0.06049918221
455	0.06044036809
460	0.06036458859
465	0.06031756111
470	0.0602522171
475	0.06019308265
480	0.06013722956
485	0.0600641729
490	0.06002241039
495	0.0599576126
500	0.05991608418
505	0.05986448989
510	0.0598017332
515	0.05972993323
520	0.05967180495
525	0.05962874879
530	0.05957377868
535	0.05954020933
540	0.05949377323
545	0.05943502071
550	0.05939858068
555	0.05934869484
560	0.05929152345
565	0.05922997828
570	0.05917576793
575	0.05911896205
580	0.05905498973
585	0.0589731896
590	0.05892894656
595	0.05888413267
600	0.05883886703
605	0.05878708793
610	0.05873223691
615	0.05869226088
620	0.05863000933
625	0.05859107234
630	0.0585329112
635	0.05848066392
640	0.05842769795
645	0.05838360276
650	0.05833279287
655	0.05828019241
660	0.05823853668
665	0.05819911918
670	0.05816812072
675	0.05811193087
680	0.05807036549
685	0.05800599892
690	0.05795772706
695	0.05790108957
700	0.05785615658
705	0.05780553972
710	0.05776320636
715	0.05770804733
720	0.05767870803
725	0.05762891254
730	0.05757195471
735	0.05751871358
740	0.05748217498
745	0.05743077371
750	0.05738675244
755	0.0573543248
760	0.05729465645
765	0.05724233935
770	0.05720559952
775	0.05716194376
780	0.05712515054
785	0.0570834291
790	0.05703654947
795	0.05699355081
800	0.0569475254
805	0.05689049775
810	0.05685105972
815	0.05680069749
820	0.05676049148
825	0.05670935715
830	0.05667193969
835	0.05663055091
840	0.0565924435
845	0.05655135452
850	0.05649107425
855	0.0564334429
860	0.05638107241
865	0.05635223004
870	0.05631238133
875	0.05626935392
880	0.05622568173
885	0.05618255165
890	0.0561449617
895	0.05609313332
900	0.05605952701
905	0.05602633959
910	0.05599228564
915	0.05594634647
920	0.05590781605
925	0.05586796734
930	0.05582265242
935	0.05579666841
940	0.05576347689
945	0.05571157048
950	0.05567585736
955	0.05563492033
960	0.0555993838
965	0.05555767058
970	0.05552307863
975	0.05548645379
980	0.05545489679
985	0.05541031289
990	0.05537259562
995	0.05533083312
1000	0.05530033158
1005	0.05525195295
1010	0.05521676961
1015	0.05517264157
1020	0.05514090387
1025	0.0551046815
1030	0.05506228244
1035	0.05501563689
1040	0.05497612494
1045	0.05495031753
1050	0.0549180213
1055	0.05487936357
1060	0.05483786391
1065	0.05479953062
1070	0.05476600644
1075	0.05473384574
1080	0.05469596421
1085	0.05466913419
1090	0.05462987686
1095	0.05459112467
1100	0.05455614257
1105	0.05452235967
1110	0.05448272451
1115	0.0544430565
1120	0.05441050975
1125	0.05437383563
1130	0.05434861549
1135	0.05431604411
1140	0.05427500441
1145	0.05423945145
1150	0.0541997013
1155	0.05416822645
1160	0.05413643125
1165	0.05409825403
1170	0.05406801533
1175	0.05404065142
1180	0.05400826074
1185	0.05396903216
1190	0.0539334751
1195	0.05390539249
1200	0.05386172852
1205	0.05383130912
1210	0.05379378077
1215	0.05374124191
1220	0.05371767273
1225	0.05368272348
1230	0.05364170842
1235	0.05359574461
1240	0.05354500044
1245	0.05351093416
1250	0.05347979607
1255	0.05344619386
1260	0.05340731847
1265	0.05336954782
1270	0.0533338388
1275	0.05329233503
1280	0.05325800592
1285	0.05322986992
1290	0.05319544224
1295	0.05315397954
1300	0.0531117776
1305	0.05307140732
1310	0.05304234729
1315	0.05301573904
1320	0.05298466254
1325	0.05295640745
1330	0.05292845216
1335	0.05288598739
1340	0.05284637276
1345	0.05281547697
1350	0.05278217457
1355	0.05275936104
1360	0.05273271994
1365	0.05269089583
1370	0.0526518151
1375	0.05262029917
1380	0.05259286134
1385	0.05255067173
1390	0.05250725006
1395	0.05247355751
1400	0.05243838238
1405	0.05239528104
1410	0.05235817981
1415	0.05232288148
1420	0.05229000208
1425	0.05225987837
1430	0.05223716342
1435	0.05220514645
1440	0.05216751133
1445	0.05212907126
1450	0.05208659417
1455	0.05204520539
1460	0.05200701994
1465	0.05198002155
1470	0.05193724876
1475	0.05189657046
1480	0.05186771577
1485	0.05183133734
1490	0.05181113577
1495	0.05177249858
1500	0.05174871995
1505	0.05170890819
1510	0.05167662018
1515	0.05163827868
1520	0.05160493931
1525	0.05158146459
1530	0.05154991581
1535	0.05152261761
1540	0.05148458412
1545	0.05145842763
1550	0.05141712509
1555	0.05138325183
1560	0.05135429447
1565	0.05131371063
1570	0.05128949668
1575	0.05125386158
1580	0.05122090005
1585	0.05119470659
1590	0.05116645561
1595	0.05113804856
1600	0.05109810128
1605	0.0510765732
1610	0.05104699571
1615	0.05102104866
1620	0.05099630492
1625	0.05096209901
1630	0.05094078038
1635	0.05091466085
1640	0.05087775264
1645	0.05084423668
1650	0.05081759968
1655	0.05078948833
1660	0.05075129878
1665	0.05071469447
1670	0.05067522359
1675	0.05065076322
1680	0.05062083665
1685	0.05058612149
1690	0.05055532015
1695	0.05053032179
1700	0.05049894549
1705	0.05047733938
1710	0.05045384823
1715	0.05043861184
1720	0.05041033211
1725	0.05037101317
1730	0.05034417905
1735	0.05032025257
1740	0.05028832596
1745	0.05026163969
1750	0.05023861671
1755	0.05021195508
1760	0.05018827501
1765	0.05015630322
1770	0.05012587561
1775	0.0501002489
1780	0.05006661795
1785	0.05002882266
1790	0.0499996887
1795	0.0499662097
1800	0.04993082924
1805	0.04990118603
1810	0.0498641505
1815	0.0498281458
1820	0.0497971884
1825	0.04976706059
1830	0.04974248934
1835	0.04970895695
1840	0.04967882092
1845	0.04965494783
1850	0.04963025748
1855	0.04960316463
1860	0.04958181725
1865	0.04955691745
1870	0.04953240369
1875	0.04951005425
1880	0.04947565942
1885	0.04944261575
1890	0.04941254954
1895	0.04937681588
1900	0.04934761622
1905	0.0493081864
1910	0.04928543859
1915	0.04924397588
1920	0.04920855845
